original_filename,page,sr_no,current_gp_name,old_gp_villages,new_or_reconstituted_gp_name,new_gp_villages
GP_Delimitation_2019_Final-1-400.pdf,1,2 .,मेडिया,डूगरखेडा,मेडिया,"1. मेडिया 
2. शोभापुरा 
3. रामपुरा मेवातिया 
4. सम्भुपुरा 
5. मकरेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,2 .,मेडिया,शोभापुरा,मेडिया,"1. मेडिया 
2. शोभापुरा 
3. रामपुरा मेवातिया 
4. सम्भुपुरा 
5. मकरेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,2 .,मेडिया,रामपुरा मेवातिया,मेडिया,"1. मेडिया 
2. शोभापुरा 
3. रामपुरा मेवातिया 
4. सम्भुपुरा 
5. मकरेडा"
GP_Delimitation_2019_Final-1-400.pdf,1,3 .,जालिया,जालिया प्रथम,जालिया प्रथम,1. जालिया प्रथम
GP_Delimitation_2019_Final-1-400.pdf,1,,"वर्तमान ग्रा ० प ० का
नाम", सम्मिलित ग्रामों का नाम,"पुनर्गठित / पुनर्सीमांकित / नवसृजित
ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० में
ग्रामों का नाम"
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,1 .,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,2 .,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,3 .,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,4 .,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,5 .,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,सान्दौलिया,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,सील,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,काकलवाडा,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,गुन्दली,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,1,सान्दौलिया,मोठी,सान्दौलिया,"सान्दौलिया
सील
1 .
2 ."
GP_Delimitation_2019_Final-1-400.pdf,1,3,ढसूक,ढसूक,ढसूक,"1 . ढसूक
2 . पाण्डरवाडा
3. किशनपुरा
4. बालापुरा"
GP_Delimitation_2019_Final-1-400.pdf,1,3,ढसूक,बालापुरा,ढसूक,"1 . ढसूक
2 . पाण्डरवाडा
3. किशनपुरा
4. बालापुरा"
GP_Delimitation_2019_Final-1-400.pdf,1,3,ढसूक,पाण्डरवाडा,ढसूक,"1 . ढसूक
2 . पाण्डरवाडा
3. किशनपुरा
4. बालापुरा"
GP_Delimitation_2019_Final-1-400.pdf,1,3,ढसूक,माण्डियावड कला,ढसूक,"1 . ढसूक
2 . पाण्डरवाडा
3. किशनपुरा
4. बालापुरा"
GP_Delimitation_2019_Final-1-400.pdf,1,3,ढसूक,माण्डियावड खुर्द,ढसूक,"1 . ढसूक
2 . पाण्डरवाडा
3. किशनपुरा
4. बालापुरा"
GP_Delimitation_2019_Final-1-400.pdf,1,3,ढसूक,किशनपुरा 6 .,ढसूक,"1 . ढसूक
2 . पाण्डरवाडा
3. किशनपुरा
4. बालापुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,बाडिया श्यामा,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,बाडिया जगा,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,रामसर बलाईयान,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,मालीपुरा,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,सोवनिया,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,बनेवडी,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,ठिकराना,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,मेहन्द्रातान,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,,प्रथम,खेजडला,,"2. मालीपुरा
3. सोवनिया
4. बाडिया जगा"
GP_Delimitation_2019_Final-1-400.pdf,2,4 .,"नुन्द्री
मालदेव",नुन्द्री मालदेव,नुन्द्री मालदेव,"1. नुन्द्री मालदेव
2. सिंघाडिया"
GP_Delimitation_2019_Final-1-400.pdf,2,4 .,"नुन्द्री
मालदेव",शिवनाथपुरा,नुन्द्री मालदेव,"1. नुन्द्री मालदेव
2. सिंघाडिया"
GP_Delimitation_2019_Final-1-400.pdf,2,4 .,"नुन्द्री
मालदेव",गणेशपुरा,नुन्द्री मालदेव,"1. नुन्द्री मालदेव
2. सिंघाडिया"
GP_Delimitation_2019_Final-1-400.pdf,2,4 .,"नुन्द्री
मालदेव",गोविन्द पुरा,नुन्द्री मालदेव,"1. नुन्द्री मालदेव
2. सिंघाडिया"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,देलवाडा,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,मांडावास,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,दौलतपुरा,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,बलाईयान,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,लसाडिया,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,शेषपुरा,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,7 .,देलवाडा,लस्सानी - प्रथम,देलवाड़ा,"1. देलवाडा
2. दौलतपुरा
बलाईयान
3. शेषपुरा"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,सुहावा,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,खिरनीखेडा,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,लाखिना,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,फतेहपुर प्रथम,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,ठिकराना गुजरान,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,रतनपुरा झूठा,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,पाखरियावास,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,2,8 .,सुहावा,बाडिया भाऊ,सुहावा,"1. सुहावा 
2. लाखिना
3. फतेहपुर प्रथम
4. रतनपुरा झूठा
5. ठिकराना गुजरान"
GP_Delimitation_2019_Final-1-400.pdf,3,11 .,सरमालिया,सरमालिया,सरमालिया,"1. सरमालिया
2. भवानी खेडा
3. सरगांव
4. पिलानी
5. नयासर"
GP_Delimitation_2019_Final-1-400.pdf,3,11 .,सरमालिया,भवानी खेडा,सरमालिया,"1. सरमालिया
2. भवानी खेडा
3. सरगांव
4. पिलानी
5. नयासर"
GP_Delimitation_2019_Final-1-400.pdf,3,11 .,सरमालिया,सरगांव,सरमालिया,"1. सरमालिया
2. भवानी खेडा
3. सरगांव
4. पिलानी
5. नयासर"
GP_Delimitation_2019_Final-1-400.pdf,3,11 .,सरमालिया,पिलानी,सरमालिया,"1. सरमालिया
2. भवानी खेडा
3. सरगांव
4. पिलानी
5. नयासर"
GP_Delimitation_2019_Final-1-400.pdf,3,11 .,सरमालिया,नयासर,सरमालिया,"1. सरमालिया
2. भवानी खेडा
3. सरगांव
4. पिलानी
5. नयासर"
GP_Delimitation_2019_Final-1-400.pdf,3,11 .,सरमालिया,मकरेडा,सरमालिया,"1. सरमालिया
2. भवानी खेडा
3. सरगांव
4. पिलानी
5. नयासर"
GP_Delimitation_2019_Final-1-400.pdf,3,12 .,"नुन्द्री
मेन्द्रातान",नुन्द्री मेन्द्रातान,नुन्द्री मेन्द्रातान,"1. नुन्द्री मेन्द्रातान
2. सिरोला"
GP_Delimitation_2019_Final-1-400.pdf,3,12 .,"नुन्द्री
मेन्द्रातान",भीलातो का बाडिया,नुन्द्री मेन्द्रातान,"1. नुन्द्री मेन्द्रातान
2. सिरोला"
GP_Delimitation_2019_Final-1-400.pdf,3,12 .,"नुन्द्री
मेन्द्रातान",सिरोला,नुन्द्री मेन्द्रातान,"1. नुन्द्री मेन्द्रातान
2. सिरोला"
GP_Delimitation_2019_Final-1-400.pdf,3,12 .,"नुन्द्री
मेन्द्रातान",रतनपुरा सरदारा,नुन्द्री मेन्द्रातान,"1. नुन्द्री मेन्द्रातान
2. सिरोला"
GP_Delimitation_2019_Final-1-400.pdf,3,12 .,"नुन्द्री
मेन्द्रातान",फतेहपुरिया ( ग्रामीण ),नुन्द्री मेन्द्रातान,"1. नुन्द्री मेन्द्रातान
2. सिरोला"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,दुर्गावास,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,रामावास,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,बिच्छु चौड़ा,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,लालपुराधनार,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,खेडा देवनारायण,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,खाडिया खेडा,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,धोलादाता |,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,14 .,दुर्गावास,भैरूखेडा,दुर्गावास,"1. दुर्गावास
2. रामावास
3. खेडा देवनारायण
4. खाडिया खेडा
5. बिच्छु चौड़ा"
GP_Delimitation_2019_Final-1-400.pdf,3,15 .,रूपनगर,रूपनगर,रूपनगर,"1. रूपनगर
2. चौड़ानिमडी
3. जोहरखेडा
4. देवपुरा"
GP_Delimitation_2019_Final-1-400.pdf,3,15 .,रूपनगर,फतेहगढ़ सल्ला,रूपनगर,"1. रूपनगर
2. चौड़ानिमडी
3. जोहरखेडा
4. देवपुरा"
GP_Delimitation_2019_Final-1-400.pdf,3,15 .,रूपनगर,जोहरखेडा,रूपनगर,"1. रूपनगर
2. चौड़ानिमडी
3. जोहरखेडा
4. देवपुरा"
GP_Delimitation_2019_Final-1-400.pdf,3,15 .,रूपनगर,चौडानिमडी,रूपनगर,"1. रूपनगर
2. चौड़ानिमडी
3. जोहरखेडा
4. देवपुरा"
GP_Delimitation_2019_Final-1-400.pdf,3,15 .,रूपनगर,रेलमाल कला,रूपनगर,"1. रूपनगर
2. चौड़ानिमडी
3. जोहरखेडा
4. देवपुरा"
GP_Delimitation_2019_Final-1-400.pdf,3,15 .,रूपनगर,देवपुरा,रूपनगर,"1. रूपनगर
2. चौड़ानिमडी
3. जोहरखेडा
4. देवपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,ब्यावरख़ास,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,रेहमानखेडा,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,सराधना,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,गोपालपुरा,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,भगवानपुरा,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,हरराजपुरा,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,17 .,ब्यावरख़ास,सम्भुपुरा,ब्यावरखास,"1. ब्यावरख़ास
2. रेहमानखेडा
3. गोपालपुरा
4. भगवानपुरा
5. सराधना
6. हरराजपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,18 .,राजियावास,राजियावास,राजियावास,"1. राजियावास
2. रामखेडा धन्नार
3. कालिंजर"
GP_Delimitation_2019_Final-1-400.pdf,4,18 .,राजियावास,कालिंजर,राजियावास,"1. राजियावास
2. रामखेडा धन्नार
3. कालिंजर"
GP_Delimitation_2019_Final-1-400.pdf,4,19 .,गोहाना,गोहाना,गोहाना,"1. गोहाना
2. सनवा"
GP_Delimitation_2019_Final-1-400.pdf,4,19 .,गोहाना,रायताखेडा,गोहाना,"1. गोहाना
2. सनवा"
GP_Delimitation_2019_Final-1-400.pdf,4,19 .,गोहाना,सनवा,गोहाना,"1. गोहाना
2. सनवा"
GP_Delimitation_2019_Final-1-400.pdf,4,19 .,गोहाना,रामखेडा धन्नार,गोहाना,"1. गोहाना
2. सनवा"
GP_Delimitation_2019_Final-1-400.pdf,4,20 .,अतीतमड,अतीतमड,अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,20 .,अतीतमड,रामसर मौहल्ला,अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,20 .,अतीतमड,जैतपुरा,अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,20 .,अतीतमड,बलाईखेडा,अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,20 .,अतीतमड,शाहपुरा,अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा"
GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,सरवीना,सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान"
GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,जैतगढ़ बामनिया,सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान"
GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,सुरजपुरा,सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान"
GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,नाहरपुरा,सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान"
GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,करला,सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान"
GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,राजपुरा बोचान,सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान"
GP_Delimitation_2019_Final-1-400.pdf,4,23 .,सुरडिया,सुरडिया,सुरडिया,"1. सुरडिया
2. जैतगढ़ बामनिया
3. सांगरवास
4. देवखेडा
5. शिवनगरी
6. कालादडा"
GP_Delimitation_2019_Final-1-400.pdf,4,23 .,सुरडिया,देवखेडा,सुरडिया,"1. सुरडिया
2. जैतगढ़ बामनिया
3. सांगरवास
4. देवखेडा
5. शिवनगरी
6. कालादडा"
GP_Delimitation_2019_Final-1-400.pdf,4,23 .,सुरडिया,सांगरवास,सुरडिया,"1. सुरडिया
2. जैतगढ़ बामनिया
3. सांगरवास
4. देवखेडा
5. शिवनगरी
6. कालादडा"
GP_Delimitation_2019_Final-1-400.pdf,4,23 .,सुरडिया,कालादडा,सुरडिया,"1. सुरडिया
2. जैतगढ़ बामनिया
3. सांगरवास
4. देवखेडा
5. शिवनगरी
6. कालादडा"
GP_Delimitation_2019_Final-1-400.pdf,4,23 .,सुरडिया,शिवनगरी,सुरडिया,"1. सुरडिया
2. जैतगढ़ बामनिया
3. सांगरवास
4. देवखेडा
5. शिवनगरी
6. कालादडा"
GP_Delimitation_2019_Final-1-400.pdf,4,24 .,नरबद,नरबद खेडा,नरबद खेडा,1. नरबद खेडा
GP_Delimitation_2019_Final-1-400.pdf,5,,खेडा,भोजपुरा,,"2. भोजपुरा
3. प्रतापपुरा
4. केसरपुरा
5. रामसर इन्दा
6 . लाम्बा
7. खेजडला"
GP_Delimitation_2019_Final-1-400.pdf,5,,खेडा,सिंघाडिया AWN 4. लाम्बा,,"2. भोजपुरा
3. प्रतापपुरा
4. केसरपुरा
5. रामसर इन्दा
6 . लाम्बा
7. खेजडला"
GP_Delimitation_2019_Final-1-400.pdf,5,,खेडा,प्रतापपुरा,,"2. भोजपुरा
3. प्रतापपुरा
4. केसरपुरा
5. रामसर इन्दा
6 . लाम्बा
7. खेजडला"
GP_Delimitation_2019_Final-1-400.pdf,5,,खेडा,केसरपुरा,,"2. भोजपुरा
3. प्रतापपुरा
4. केसरपुरा
5. रामसर इन्दा
6 . लाम्बा
7. खेजडला"
GP_Delimitation_2019_Final-1-400.pdf,5,,खेडा,रामसर इन्दा,,"2. भोजपुरा
3. प्रतापपुरा
4. केसरपुरा
5. रामसर इन्दा
6 . लाम्बा
7. खेजडला"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,सुरजपुरा,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,बनारखेडा,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,बाडिया भाऊ,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,जालिया ।। वास रूपा,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,जालिया ।। वास 5 .,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,लाला,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,जालिया ।। वास दुर्गा 6 .,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,जालिया ।। वास,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,पिथा,सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा"
GP_Delimitation_2019_Final-1-400.pdf,5,27 .,रावतमाल,रावतमाल,रावतमाल,"1. रावतमाल
2. लस्सानी- II
3. खेडादांती"
GP_Delimitation_2019_Final-1-400.pdf,5,27 .,रावतमाल,लस्सानी- II,रावतमाल,"1. रावतमाल
2. लस्सानी- II
3. खेडादांती"
GP_Delimitation_2019_Final-1-400.pdf,5,27 .,रावतमाल,बागलिया,रावतमाल,"1. रावतमाल
2. लस्सानी- II
3. खेडादांती"
GP_Delimitation_2019_Final-1-400.pdf,5,27 .,रावतमाल,खेडादांती,रावतमाल,"1. रावतमाल
2. लस्सानी- II
3. खेडादांती"
GP_Delimitation_2019_Final-1-400.pdf,5,28 .,लोटियान,लोटियाना,लोटियाना,"1. लोटियाना
2. सोनियाना चौड़ा
3. सोनियाना"
GP_Delimitation_2019_Final-1-400.pdf,5,28 .,लोटियान,सोनियाना चौड़ा,लोटियाना,"1. लोटियाना
2. सोनियाना चौड़ा
3. सोनियाना"
GP_Delimitation_2019_Final-1-400.pdf,5,28 .,लोटियान,बिहार रतनपुरा,लोटियाना,"1. लोटियाना
2. सोनियाना चौड़ा
3. सोनियाना"
GP_Delimitation_2019_Final-1-400.pdf,5,28 .,लोटियान,सोनियाना,लोटियाना,"1. लोटियाना
2. सोनियाना चौड़ा
3. सोनियाना"
